"Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7","Relative Intensity (%) Run #8","Angle (rad) Run #8","Relative Intensity (%) Run #9","Angle (rad) Run #9","Relative Intensity (%) Run #10","Angle (rad) Run #10"
-1.95,0.005,-7.09,0.002,-7.18,0.003,-3.57,0.008,-0.53,0.005,3.59,0.017
-2.02,0.003,-7.11,0.002,-7.17,0.003,-3.56,0.008,-0.54,0.003,3.53,0.017
-2.03,0.002,-7.09,0.003,-7.18,0.005,-3.57,0.006,-0.55,-4.337E-19,3.52,0.019
-2.06,0.002,-7.07,0.003,-7.21,0.005,-3.47,0.005,-0.57,-4.337E-19,3.54,0.019
-2.09,0.002,-7.14,0.002,-7.23,0.008,-3.49,0.003,-0.56,0.002,3.47,-0.013
-2.10,0.002,-7.11,0.002,-7.20,0.008,-3.45,0.003,-0.57,-0.024,3.48,-0.009
-2.12,0.002,-7.16,0.002,-7.11,0.009,-3.47,0.002,-0.65,-0.024,3.49,-0.014
-2.15,0.002,-7.13,0.002,-7.16,0.009,-3.52,0.002,-0.55,-0.025,3.47,-0.016
-2.10,0.002,-7.10,0.009,-7.24,0.009,-3.47,0.003,-0.56,-0.025,3.55,-0.022
-2.09,0.002,-7.07,0.011,-7.26,0.009,-3.41,0.005,-0.51,-0.025,3.54,-0.028
-2.09,0.002,-7.05,0.016,-7.22,0.008,-3.42,0.006,-0.46,-0.025,3.56,-0.028
-2.04,0.002,-7.01,0.017,-7.20,0.011,-3.44,0.008,-0.54,-0.025,3.66,-0.025
-2.11,0.002,-7.00,0.017,-7.17,0.011,-3.43,0.011,-0.48,-0.025,3.65,-0.027
-2.05,0.002,-7.05,0.016,-7.17,0.013,-3.47,0.013,-0.48,-0.025,3.72,-0.027
-2.03,0.003,-7.01,0.016,-7.25,0.013,-3.41,0.013,-0.43,-0.027,3.64,-0.024
-2.00,0.003,-7.00,0.016,-7.24,-0.002,-3.42,0.014,-0.45,-0.027,3.69,-0.019
-2.03,0.005,-7.08,0.016,-7.22,-0.009,-3.44,0.017,-0.54,-0.028,3.68,-0.019
-2.02,0.008,-7.06,0.016,-7.30,-0.008,-3.40,0.024,-0.59,-0.028,3.71,-0.017
-2.03,0.011,-7.05,0.017,-7.27,-0.008,-3.40,0.028,-0.41,-0.027,3.62,-0.014
-2.06,0.016,-7.06,0.017,-7.23,-0.009,-3.45,0.027,-0.39,-0.027,3.58,-0.014
-2.06,0.017,-7.07,0.016,-7.18,-0.011,-3.39,0.028,-0.43,-0.027,3.63,-0.014
-2.04,0.019,-7.09,0.017,-7.10,-0.011,-3.36,0.027,-0.38,-0.025,3.73,-0.014
-2.03,0.024,-7.08,0.016,-7.09,-0.011,-3.38,0.027,-0.44,-0.024,3.71,-0.014
-2.06,0.025,-7.13,0.014,-7.15,-0.011,-3.39,0.027,-0.47,-0.020,3.66,-0.014
-2.04,0.027,-7.13,0.011,-7.09,-0.011,-3.33,0.025,-0.45,-0.017,3.61,-0.016
-2.08,0.030,-7.08,0.011,-7.12,-0.009,-3.38,0.027,-0.41,-0.016,3.67,-0.022
-2.09,0.035,-7.10,0.011,-7.11,-0.009,-3.24,0.025,-0.56,-0.014,3.69,-0.022
-2.09,0.039,-7.13,0.011,-7.13,-0.009,-3.25,0.025,-0.44,-0.011,3.67,-0.016
-2.10,0.050,-7.15,0.011,-7.14,-0.006,-3.31,0.024,-0.31,-0.006,3.60,-0.011
-2.07,0.058,-7.10,0.011,-7.19,0.002,-3.27,0.022,-0.36,-0.003,3.59,0.003
-2.13,0.068,-7.15,0.013,-7.18,0.014,-3.25,0.024,-0.48,-1.735E-18,3.65,0.031
-2.20,0.091,-7.18,0.013,-7.10,0.047,-3.28,0.027,-0.39,-1.735E-18,3.64,0.075
-2.11,0.110,-7.21,0.014,-7.09,0.086,-3.25,0.039,-0.42,0.002,3.61,0.132
-2.14,0.156,-7.19,0.014,-7.15,0.167,-3.20,0.053,-0.66,0.002,3.68,0.165
-2.16,0.195,-7.20,0.016,-7.14,0.201,-3.22,0.060,-0.59,0.003,3.68,0.193
-2.10,0.240,-7.18,0.016,-7.13,0.352,-3.28,0.064,-0.52,0.008,3.69,0.223
-2.11,0.309,-7.18,0.016,-7.11,0.540,-3.29,0.079,-0.64,0.024,3.71,0.350
-2.10,0.418,-7.21,0.016,-7.05,0.605,-3.25,0.091,-0.63,0.047,3.69,0.448
-2.06,0.518,-7.22,0.016,-7.00,0.619,-3.27,0.108,-0.61,0.077,3.72,0.474
-2.01,0.600,-7.20,0.016,-6.99,0.628,-3.20,0.126,-0.70,0.105,3.80,0.490
-2.06,0.702,-7.29,0.016,-6.96,0.636,-3.23,0.159,-0.66,0.141,3.76,0.533
-2.08,0.787,-7.24,0.016,-6.95,0.644,-3.20,0.239,-0.57,0.218,3.71,0.584
-2.04,0.828,-7.22,0.017,-6.98,0.653,-3.19,0.309,-0.52,0.297,3.86,0.658
-1.96,0.866,-7.29,0.019,-6.94,0.660,-3.14,0.383,-0.62,0.341,3.83,0.707
-1.98,0.911,-7.30,0.024,-6.90,0.674,-3.12,0.454,-0.52,0.382,3.79,0.716
-1.98,0.963,-7.34,0.027,-6.83,0.686,-3.04,0.525,-0.49,0.416,3.71,0.724
-2.00,1.010,-7.24,0.030,-6.84,0.710,-3.08,0.611,-0.49,0.441,3.80,0.730
-1.93,1.056,-7.28,0.035,-6.79,0.732,-3.02,0.730,-0.49,0.465,3.80,0.740
-1.95,1.117,-7.33,0.038,-6.80,0.748,-2.99,0.814,-0.47,0.489,3.78,0.751
-1.95,1.166,-7.35,0.046,-6.80,0.765,-2.90,0.829,-0.43,0.523,3.79,0.765
-1.91,1.221,-7.39,0.050,-6.88,0.789,-2.87,0.831,-0.43,0.576,3.88,0.773
-1.89,1.268,-7.40,0.060,-6.90,0.825,-2.93,0.837,-0.40,0.635,3.90,0.789
-1.89,1.308,-7.41,0.077,-6.80,0.878,-3.00,0.845,-0.34,0.690,3.87,0.809
-1.88,1.335,-7.39,0.101,-6.81,0.960,-3.01,0.856,-0.34,0.724,3.94,0.826
-1.87,1.367,-7.38,0.121,-6.72,1.060,-3.02,0.878,-0.24,0.754,3.89,0.855
-1.82,1.418,-7.40,0.156,-6.71,1.120,-3.03,0.903,-0.24,0.790,3.88,0.883
-1.85,1.483,-7.37,0.217,-6.71,1.140,-3.02,0.933,-0.32,0.818,3.88,0.908
-1.79,1.552,-7.39,0.273,-6.72,1.147,-3.03,0.968,-0.30,0.836,3.83,0.949
-1.74,1.624,-7.36,0.336,-6.69,1.150,-3.04,1.007,-0.29,0.848,3.83,1.021
-1.71,1.690,-7.37,0.412,-6.63,1.156,-3.01,1.037,-0.28,0.866,3.79,1.095
-1.69,1.736,-7.38,0.465,-6.68,1.170,-2.96,1.051,-0.20,0.888,3.87,1.183
