"Relative Intensity (%) Run #1","Angle (rad) Run #1","Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6"
-4.34,,-5.62,,-6.24,,-5.73,,-4.35,,-3.30,
-4.33,0.000,-5.61,0.000,-6.19,0.000,-5.71,0.000,-4.33,0.000,-3.35,0.000
-4.37,0.000,-5.57,0.000,-6.20,0.000,-5.65,0.000,-4.37,0.000,-3.33,0.000
-4.31,0.000,-5.58,0.000,-6.18,0.000,-5.65,0.000,-4.36,0.000,-3.32,0.000
-4.22,0.000,-5.60,0.000,-6.18,0.000,-5.67,0.000,-4.30,0.000,-3.30,0.000
-4.17,0.000,-5.55,0.000,-6.17,0.000,-5.69,0.000,-4.32,0.000,-3.30,0.000
-4.21,0.000,-5.54,0.000,-6.12,0.000,-5.69,0.000,-4.36,-0.002,-3.31,0.000
-4.22,0.000,-5.51,0.000,-6.13,0.000,-5.66,0.000,-4.34,-0.002,-3.36,0.000
-4.19,0.000,-5.57,0.000,-6.15,0.000,-5.65,0.000,-4.38,-0.002,-3.31,0.000
-4.17,0.000,-5.55,0.000,-6.13,0.000,-5.63,0.000,-4.35,-0.002,-3.33,0.000
-4.29,0.000,-5.59,0.000,-6.18,0.000,-5.64,0.000,-4.35,-0.002,-3.36,0.000
-4.21,0.000,-5.65,0.000,-6.18,0.002,-5.67,0.000,-4.35,-0.002,-3.36,0.000
-4.21,0.000,-5.61,0.000,-6.28,0.002,-5.67,0.000,-4.37,-0.002,-3.38,0.000
-4.19,0.000,-5.54,0.000,-6.22,0.002,-5.68,0.000,-4.36,-0.002,-3.35,0.000
-4.17,0.000,-5.58,0.000,-6.20,0.002,-5.65,0.000,-4.38,-0.002,-3.35,0.000
-4.21,0.000,-5.57,0.000,-6.23,0.002,-5.63,0.000,-4.35,-0.002,-3.35,0.000
-4.23,0.000,-5.56,0.000,-6.23,0.002,-5.63,0.000,-4.38,-0.002,-3.27,0.000
-4.23,0.000,-5.64,0.000,-6.16,0.002,-5.60,0.002,-4.34,-0.002,-3.17,0.000
-4.23,0.000,-5.64,-0.002,-6.17,0.002,-5.68,0.002,-4.35,-0.002,-3.13,0.000
-4.17,0.000,-5.60,-0.002,-6.21,0.002,-5.52,0.002,-4.34,-0.002,-3.07,0.000
-4.07,0.000,-5.61,-0.002,-6.20,0.002,-5.48,0.002,-4.29,-0.002,-3.10,0.000
-3.87,0.000,-5.62,-0.002,-6.17,0.002,-5.49,0.000,-4.22,-0.002,-3.06,-0.002
-3.85,0.000,-5.63,-0.002,-6.10,0.002,-5.44,0.000,-4.16,-0.002,-3.06,-0.002
-3.82,0.000,-5.61,-0.002,-5.98,0.002,-5.44,0.000,-4.14,-0.002,-3.06,-0.002
-3.78,0.000,-5.60,-0.002,-5.97,0.000,-5.41,0.000,-4.14,-0.002,-3.06,-0.002
-3.85,0.000,-5.68,-0.002,-5.95,0.000,-5.40,0.000,-4.06,-0.002,-3.06,-0.002
-3.79,0.000,-5.74,-0.002,-5.95,0.000,-5.38,0.000,-4.01,-0.003,-3.07,-0.002
-3.83,0.000,-5.64,-0.002,-5.89,0.000,-5.40,0.000,-4.11,-0.003,-2.99,-0.003
-3.87,0.000,-5.54,-0.002,-5.91,0.000,-5.41,0.000,-4.08,-0.003,-2.98,-0.002
-3.85,0.000,-5.50,-0.002,-5.90,0.000,-5.26,0.000,-4.13,-0.005,-3.02,0.002
-3.87,0.000,-5.49,-0.002,-5.93,0.000,-5.24,0.000,-4.09,-0.006,-3.06,0.002
-3.81,0.000,-5.47,-0.002,-5.98,0.000,-5.25,0.000,-4.08,-0.006,-3.04,0.002
-3.82,0.000,-5.43,-0.002,-6.02,0.000,-5.30,0.002,-4.06,0.002,-3.06,0.000
-3.85,0.000,-5.35,-0.002,-6.01,-0.002,-5.29,0.000,-4.06,0.002,-3.06,0.002
-3.90,0.000,-5.33,-0.002,-6.02,-0.002,-5.31,0.008,-4.10,0.003,-3.03,0.002
-3.89,0.000,-5.30,-0.002,-5.97,-0.002,-5.35,0.008,-4.02,0.002,-3.01,0.006
-3.89,0.002,-5.37,-0.003,-5.97,-0.002,-5.29,0.011,-4.07,0.005,-2.99,0.006
-3.91,0.005,-5.30,-0.003,-5.98,-0.002,-5.25,0.009,-4.11,0.006,-2.97,0.009
