Relative Intensity (%) Run #1,Angle (rad) Run #1,Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #4,Angle (rad) Run #4,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #6,Angle (rad) Run #6
-1.78,,-1.67,,-1.2,,-0.85,,-0.5,,0.29,
-1.77,0,-1.68,0,-1.21,0,-0.81,0,-0.49,0.002,0.26,0
-1.78,0,-1.72,0,-1.21,0,-0.78,0,-0.46,0.002,0.25,0
-1.8,0,-1.72,0,-1.22,0,-0.82,0,-0.43,0.002,0.26,0
-1.76,0,-1.67,0,-1.29,0,-0.78,0,-0.42,0.002,0.3,0
-1.77,0,-1.67,0,-1.29,0,-0.77,0,-0.45,0.002,0.31,0
-1.76,0,-1.69,0,-1.23,0,-0.74,0,-0.42,0.002,0.31,0
-1.75,0,-1.64,0,-1.23,0,-0.78,0,-0.41,0.002,0.28,0
-1.8,0,-1.64,0,-1.18,-0.002,-0.76,0,-0.46,0.002,0.26,0
-1.77,0.002,-1.69,0,-1.18,-0.002,-0.77,0,-0.51,0.002,0.25,0
-1.77,0.002,-1.7,0,-1.19,-0.002,-0.81,0,-0.49,0.002,0.28,0
-1.72,0.002,-1.71,0,-1.26,-0.002,-0.81,0,-0.45,0.002,0.25,0
-1.79,0.002,-1.7,0,-1.25,-0.002,-0.79,0,-0.41,0.002,0.27,0
-1.82,0.002,-1.72,0,-1.25,-0.002,-0.73,0,-0.5,0.002,0.28,0
-1.79,0.002,-1.81,0,-1.24,-0.002,-0.69,0,-0.45,0.002,0.28,0
-1.82,0.002,-1.76,0,-1.23,-0.002,-0.71,0,-0.44,0.002,0.25,0
-1.79,0.002,-1.74,0,-1.25,-0.002,-0.7,0,-0.42,0.002,0.25,0
-1.83,0,-1.75,0,-1.13,-0.002,-0.73,0,-0.43,0.002,0.29,0
-1.86,0,-1.79,0,-1.04,-0.002,-0.75,0,-0.39,0.002,0.29,0
-1.72,0,-1.74,0,-0.85,-0.002,-0.68,0,-0.41,0.002,0.27,0
-1.6,0,-1.6,0,-0.82,-0.002,-0.59,0,-0.43,0.002,0.28,0
-1.48,0,-1.46,0,-0.82,-0.002,-0.39,0,-0.41,0.002,0.51,0
-1.46,0,-1.41,0,-0.86,-0.002,-0.36,0,-0.44,0.002,0.5,0
-1.42,0,-1.34,0,-0.82,-0.002,-0.29,0,-0.39,0.002,0.6,-0.002
-1.37,0,-1.35,0,-0.84,-0.002,-0.26,0,-0.4,0.002,0.62,-0.002
-1.41,0,-1.38,0,-0.81,-0.002,-0.25,0,-0.23,0.002,0.65,0
-1.43,0,-1.41,0,-0.75,-0.002,-0.27,0,-0.17,0.002,0.69,0
-1.43,0,-1.3,0,-0.86,-0.002,-0.25,0,-0.11,0.002,0.68,0
-1.42,0,-1.36,0,-0.83,-0.002,-0.24,0,-0.07,0.002,0.67,0
-1.4,0,-1.4,0,-0.86,0.002,-0.21,0,-0.06,0.002,0.73,0
-1.4,0,-1.3,0,-0.84,0.002,-0.21,0,-0.05,0.002,0.69,-0.002
-1.39,0,-1.36,0,-0.89,0.002,-0.22,0,-0.01,0.002,0.69,-0.003
-1.47,0,-1.32,0,-0.84,0.002,-0.27,0,-0.03,0.002,0.7,-0.002
-1.52,0,-1.31,0,-0.81,0.003,-0.27,0,-0.05,0.002,0.7,-0.002
-1.44,0.011,-1.36,0,-0.82,0.008,-0.21,0,-0.18,0.002,0.76,-0.002
-1.44,0.011,-1.33,0,-0.83,0.009,-0.23,0.005,-0.11,0.002,0.77,0.002
-1.39,0.011,-1.36,0.014,-0.74,-0.011,-0.24,0.008,-0.12,0.002,0.66,0.002
-1.45,0.017,-1.32,0.013,-0.78,-0.011,-0.2,0.006,-0.07,0.002,0.66,-0.003
-1.45,0.017,-1.37,0.014,-0.83,-0.013,-0.24,0.006,-0.04,0.003,0.67,-0.02
-1.41,-0.019,-1.38,0.016,-0.83,-0.013,-0.27,0.008,-0.06,0.003,0.64,-0.036
-1.44,-0.017,-1.35,0.017,-0.87,-0.013,-0.27,0.008,-0.04,0.009,0.65,-0.044
-1.42,-0.027,-1.35,0.013,-0.87,-0.013,-0.31,0.008,-0.03,0.008,0.68,-0.044
-1.46,-0.031,-1.32,0.009,-0.81,-0.013,-0.26,0.008,-0.05,-0.014,0.74,-0.042
-1.52,-0.033,-1.32,0.003,-0.84,-0.014,-0.3,0.006,-0.05,-0.042,0.76,-0.041
-1.55,-0.031,-1.29,-0.017,-0.86,-0.031,-0.25,0.008,-0.13,-0.077,0.76,-0.041
-1.59,-0.03,-1.33,0.008,-0.8,-0.031,-0.28,0.009,-0.18,-0.075,0.73,-0.038
-1.55,-0.03,-1.33,0.008,-0.85,-0.03,-0.3,0.006,-0.04,-0.082,0.67,-0.036
-1.55,-0.028,-1.33,0.013,-0.81,-0.03,-0.31,0.006,-0.05,-0.079,0.66,-0.035
-1.57,-0.028,-1.38,0.014,-0.82,-0.03,-0.29,0.006,-0.06,-0.074,0.66,-0.033
-1.59,-0.028,-1.35,0.016,-0.84,-0.03,-0.29,0.006,-0.11,-0.071,0.65,-0.033
-1.6,-0.027,-1.3,0.02,-0.82,-0.03,-0.31,0.006,-0.15,-0.071,0.65,-0.031
-1.57,-0.025,-1.37,0.025,-0.82,-0.028,-0.26,0.006,-0.11,-0.066,0.65,-0.031
-1.58,-0.025,-1.33,0.038,-0.77,-0.028,-0.25,0.006,-0.11,-0.066,0.68,-0.031
-1.62,-0.024,-1.36,0.046,-0.76,-0.028,-0.25,0.005,-0.15,-0.063,0.62,-0.03
-1.64,-0.024,-1.37,0.052,-0.82,-0.022,-0.26,-0.013,-0.16,-0.061,0.63,-0.028
-1.65,-0.024,-1.38,0.066,-0.85,-0.022,-0.26,-0.009,-0.18,-0.053,0.6,-0.024
-1.6,-0.022,-1.38,0.079,-0.87,-0.02,-0.24,-0.025,-0.16,-0.047,0.59,-0.024
-1.6,-0.022,-1.36,0.088,-0.88,-0.02,-0.36,-0.08,-0.17,-0.041,0.59,-0.022
-1.59,-0.019,-1.37,0.096,-0.9,-0.02,-0.28,-0.08,-0.17,-0.031,0.58,-0.017
-1.58,-0.017,-1.35,0.118,-0.92,-0.02,-0.3,-0.08,-0.15,-0.019,0.59,-0.009
-1.6,-0.011,-1.36,0.134,-0.9,-0.02,-0.29,-0.082,-0.17,-0.009,0.59,-0.008
-1.58,-0.002,-1.36,0.149,-0.87,-0.014,-0.37,-0.083,-0.19,0.005,0.62,-0.003
-1.55,0.002,-1.41,0.174,-0.9,-0.011,-0.39,-0.088,-0.16,0.008,0.64,0.006
-1.55,0.002,-1.36,0.195,-0.88,-5.20E-18,-0.37,-0.09,-0.13,0.019,0.65,0.014
-1.54,0.011,-1.34,0.221,-0.86,0.008,-0.34,-0.086,-0.09,0.031,0.65,0.022
-1.62,0.03,-1.32,0.247,-0.85,0.019,-0.36,-0.088,-0.1,0.041,0.65,0.027
-1.62,0.044,-1.32,0.259,-0.88,0.025,-0.35,-0.086,-0.12,0.052,0.68,0.027
-1.56,0.05,-1.4,0.269,-0.83,0.035,-0.32,-0.086,-0.13,0.066,0.68,0.041
-1.6,0.06,-1.38,0.276,-0.8,0.047,-0.38,-0.083,-0.16,0.079,0.65,0.06
-1.59,0.071,-1.4,0.284,-0.79,0.058,-0.34,-0.08,-0.15,0.093,0.67,0.074
-1.55,0.077,-1.36,0.306,-0.85,0.077,-0.35,-0.075,-0.11,0.102,0.72,0.086
-1.59,0.093,-1.35,0.327,-0.81,0.102,-0.32,-0.069,-0.14,0.11,0.67,0.102
-1.6,0.13,-1.28,0.336,-0.87,0.132,-0.37,-0.058,-0.16,0.126,0.66,0.123
-1.62,0.179,-1.27,0.369,-0.86,0.148,-0.44,-0.038,-0.14,0.156,0.67,0.146
-1.62,0.206,-1.27,0.407,-0.9,0.156,-0.39,-0.019,-0.13,0.184,0.68,0.173
-1.58,0.234,-1.28,0.435,-0.89,0.165,-0.37,-0.002,-0.11,0.223,0.71,0.207
-1.52,0.258,-1.3,0.441,-0.9,0.187,-0.34,0.017,-0.16,0.278,0.66,0.262
-1.53,0.281,-1.28,0.454,-0.92,0.206,-0.4,0.03,-0.2,0.303,0.72,0.306
-1.59,0.302,-1.3,0.473,-0.87,0.214,-0.37,0.031,-0.15,0.322,0.71,0.333
-1.56,0.324,-1.29,0.509,-0.9,0.232,-0.33,0.039,-0.11,0.33,0.78,0.357
-1.55,0.358,-1.26,0.551,-0.84,0.261,-0.32,0.052,-0.09,0.349,0.76,0.382
-1.5,0.377,-1.27,0.6,-0.82,0.281,-0.35,0.079,-0.03,0.385,0.69,0.41
-1.51,0.39,-1.24,0.649,-0.82,0.305,-0.42,0.11,-0.03,0.407,0.67,0.443
-1.54,0.396,-1.21,0.702,-0.81,0.327,-0.43,0.135,-0.05,0.424,0.66,0.463
-1.59,0.404,-1.21,0.732,-0.82,0.342,-0.4,0.159,-0.07,0.441,0.68,0.489
-1.57,0.412,-1.17,0.762,-0.87,0.357,-0.4,0.193,-0.02,0.449,0.73,0.503
-1.55,0.429,-1.16,0.795,-0.84,0.383,-0.4,0.212,4.88E-04,0.462,0.74,0.517
-1.54,0.451,-1.18,0.825,-0.83,0.401,-0.36,0.225,-0.01,0.495,0.73,0.537
-1.53,0.482,-1.14,0.836,-0.81,0.421,-0.33,0.234,0.03,0.537,0.77,0.567
-1.52,0.503,-1.11,0.844,-0.8,0.443,-0.32,0.247,-0.03,0.569,0.8,0.608
-1.5,0.525,-1.08,0.872,-0.76,0.46,-0.3,0.256,-0.01,0.584,0.85,0.652
-1.49,0.548,-1.12,0.883,-0.74,0.481,-0.3,0.275,0.02,0.603,0.86,0.702
-1.52,0.58,-1.14,0.897,-0.77,0.496,-0.28,0.295,0.04,0.646,0.86,0.726
-1.47,0.62,-1.08,0.913,-0.76,0.518,-0.28,0.327,0.08,0.696,0.79,0.752
-1.5,0.657,-1.09,0.933,-0.79,0.55,-0.27,0.363,0.11,0.732,0.83,0.782
-1.47,0.693,-1.1,0.952,-0.79,0.589,-0.29,0.394,0.12,0.776,0.88,0.803
-1.48,0.708,-1.07,0.969,-0.78,0.625,-0.28,0.419,0.15,0.815,0.92,0.815
-1.47,0.723,-1.06,0.982,-0.8,0.652,-0.27,0.445,0.14,0.855,0.91,0.836
-1.5,0.748,-1.07,0.996,-0.76,0.677,-0.28,0.478,0.18,0.908,0.93,0.861
-1.45,0.784,-1.09,1.008,-0.7,0.705,-0.2,0.542,0.21,0.942,1.03,0.886
-1.43,0.809,-1.06,1.018,-0.67,0.715,-0.18,0.578,0.21,0.955,1.04,0.916
-1.43,0.833,-1.1,1.037,-0.7,0.721,-0.18,0.62,0.19,0.988,1.08,0.95
-1.4,0.855,-1.11,1.068,-0.69,0.732,-0.13,0.669,0.24,1.007,1.09,0.982
-1.41,0.884,-1.07,1.096,-0.64,0.752,-0.18,0.699,0.25,1.016,1.09,1.016
-1.38,0.913,-1.04,1.131,-0.66,0.776,-0.17,0.734,0.17,1.038,1.14,1.034
-1.37,0.925,-0.91,1.172,-0.64,0.795,-0.17,0.773,0.26,1.081,1.13,1.052
-1.35,0.952,-0.92,1.21,-0.67,0.812,-0.15,0.803,0.29,1.128,1.16,1.073
-1.35,0.969,-0.92,1.232,-0.62,0.836,-0.1,0.825,0.28,1.17,1.15,1.101
-1.3,0.996,-0.94,1.26,-0.66,0.844,-0.17,0.862,0.35,1.217,1.12,1.139
-1.3,1.026,-0.95,1.296,-0.62,0.866,-0.11,0.9,0.38,1.293,1.15,1.188
-1.33,1.043,-0.92,1.329,-0.56,0.889,-0.14,0.928,0.48,1.363,1.14,1.224
-1.33,1.068,-0.95,1.343,-0.57,0.916,-0.11,0.96,0.45,1.401,1.16,1.253
-1.35,1.1,-0.95,1.351,-0.54,0.935,-0.11,0.985,0.45,1.425,1.2,1.274
-1.32,1.158,-0.92,1.371,-0.51,0.963,-0.1,1.015,0.49,1.455,1.24,1.286
-1.32,1.219,-0.92,1.392,-0.5,0.991,-0.1,1.057,0.52,1.491,1.22,1.305
-1.31,1.261,-0.89,1.428,-0.47,1.015,-0.09,1.106,0.57,1.517,1.22,1.321
-1.25,1.315,-0.84,1.462,-0.49,1.029,-0.02,1.164,0.63,1.585,1.29,1.343
-1.24,1.362,-0.85,1.483,-0.44,1.035,0,1.213,0.63,1.638,1.26,1.363
-1.19,1.398,-0.82,1.503,-0.46,1.054,0.12,1.288,0.58,1.687,1.32,1.403
-1.16,1.417,-0.82,1.528,-0.47,1.065,0.1,1.337,0.67,1.734,1.32,1.44
-1.13,1.439,-0.78,1.549,-0.47,1.074,0.09,1.363,0.72,1.77,1.33,1.459
-1.16,1.451,-0.75,1.572,-0.43,1.093,0.08,1.401,0.74,1.792,1.38,1.47
-1.1,1.456,-0.67,1.601,-0.34,1.128,0.17,1.462,0.85,1.816,1.4,1.494
-1.1,1.475,-0.64,1.632,-0.37,1.177,0.16,1.472,0.86,1.836,1.41,1.516
-1.07,1.522,-0.73,1.649,-0.4,1.233,0.21,1.475,0.88,1.865,1.45,1.549
-1.07,1.565,-0.7,1.657,-0.42,1.282,0.25,1.492,0.93,1.905,1.51,1.602
-1.02,1.61,-0.67,1.668,-0.42,1.315,0.22,1.549,0.88,1.953,1.51,1.652
-0.99,1.645,-0.65,1.692,-0.42,1.335,0.31,1.618,1.01,1.995,1.55,1.69
-0.93,1.671,-0.63,1.711,-0.42,1.351,0.33,1.67,1,2.067,1.55,1.722
-0.93,1.69,-0.6,1.723,-0.28,1.363,0.42,1.733,1.19,2.194,1.61,1.737
-0.86,1.709,-0.58,1.747,-0.31,1.376,0.43,1.825,1.28,2.218,1.65,1.762
-0.84,1.734,-0.6,1.772,-0.28,1.395,0.56,1.899,1.26,2.243,1.67,1.784
-0.85,1.755,-0.63,1.791,-0.29,1.429,0.62,1.929,1.28,2.262,1.66,1.808
-0.78,1.773,-0.62,1.808,-0.21,1.477,0.66,1.968,1.28,2.281,1.71,1.841
-0.78,1.794,-0.58,1.843,-0.2,1.516,0.73,2.023,1.3,2.318,1.7,1.876
-0.74,1.824,-0.52,1.879,-0.22,1.552,0.82,2.072,1.41,2.345,1.75,1.901
-0.71,1.847,-0.46,1.909,-0.19,1.574,0.84,2.095,1.42,2.367,1.76,1.923
-0.75,1.874,-0.38,1.926,-0.18,1.604,0.84,2.125,1.37,2.392,1.84,1.96
-0.68,1.893,-0.36,1.938,-0.15,1.626,0.83,2.152,1.48,2.457,1.84,1.998
-0.64,1.926,-0.36,1.953,-0.17,1.649,0.9,2.172,1.62,2.559,1.86,2.04
-0.6,1.945,-0.35,1.965,-0.21,1.667,0.94,2.193,1.68,2.614,1.93,2.084
-0.59,1.954,-0.3,1.984,-0.07,1.685,1.02,2.221,1.72,2.634,1.89,2.136
-0.57,1.978,-0.27,2,-0.03,1.714,1.03,2.253,1.86,2.648,1.99,2.19
-0.56,2,-0.29,2.02,-0.07,1.739,1.05,2.298,1.92,2.683,1.97,2.218
-0.55,2.018,-0.26,2.042,-0.04,1.766,1.07,2.342,1.98,2.725,1.96,2.248
-0.48,2.044,-0.21,2.069,0.04,1.788,1.13,2.373,2.1,2.788,2.1,2.284
-0.49,2.073,-0.22,2.08,0.03,1.806,1.25,2.416,2.21,2.854,2.28,2.314
-0.43,2.088,-0.23,2.092,0.07,1.828,1.27,2.461,2.29,2.911,2.23,2.35
-0.47,2.103,-0.24,2.11,0.06,1.852,1.38,2.537,2.43,2.947,2.38,2.392
-0.46,2.124,-0.2,2.132,0.07,1.877,1.42,2.571,2.52,2.964,2.44,2.427
-0.44,2.157,-0.24,2.163,0.14,1.946,1.44,2.587,2.58,2.978,2.4,2.463
-0.44,2.188,-0.17,2.188,0.2,1.996,1.58,2.617,2.67,3.002,2.45,2.505
-0.36,2.215,-0.11,2.198,0.22,2.023,1.67,2.667,2.75,3.043,2.53,2.548
-0.31,2.229,-0.13,2.205,0.26,2.047,1.78,2.73,2.75,3.093,2.57,2.593
-0.31,2.246,-0.03,2.213,0.3,2.069,1.9,2.799,2.94,3.149,2.64,2.623
-0.33,2.275,-0.02,2.223,0.27,2.091,1.93,2.857,3.06,3.211,2.67,2.653
-0.32,2.298,-0.02,2.24,0.31,2.122,2.11,2.881,3.22,3.263,2.7,2.684
-0.27,2.311,0.01,2.26,0.37,2.16,2.15,2.898,3.33,3.299,2.77,2.716
-0.2,2.328,0.02,2.289,0.39,2.187,2.23,2.909,3.38,3.338,2.87,2.746
-0.24,2.35,0.09,2.322,0.41,2.199,2.28,2.917,3.56,3.385,2.95,2.768
-0.19,2.369,0.11,2.351,0.5,2.218,2.32,2.939,3.7,3.424,2.99,2.805
-0.15,2.391,0.19,2.375,0.49,2.246,2.36,2.958,3.92,3.46,3.04,2.837
-0.09,2.402,0.25,2.395,0.56,2.276,2.44,2.985,3.96,3.49,3.07,2.86
-0.04,2.427,0.22,2.416,0.6,2.303,2.48,3.028,4.15,3.533,3.15,2.881
-0.04,2.455,0.26,2.439,0.64,2.339,2.57,3.083,4.3,3.575,3.2,2.898
-0.03,2.49,0.33,2.479,0.72,2.369,2.77,3.135,4.57,3.618,3.29,2.926
0.07,2.521,0.38,2.532,0.73,2.392,2.88,3.187,4.76,3.674,3.3,2.955
0.09,2.557,0.47,2.564,0.84,2.413,3.1,3.258,5.01,3.731,3.38,2.981
0.14,2.582,0.48,2.582,0.83,2.428,3.15,3.292,5.19,3.767,3.45,3
0.15,2.601,0.53,2.6,0.9,2.446,3.31,3.303,5.39,3.797,3.65,3.021
0.15,2.622,0.57,2.615,0.97,2.476,3.37,3.324,5.5,3.815,3.74,3.061
0.26,2.642,0.63,2.641,0.99,2.52,3.5,3.351,5.67,3.837,3.79,3.109
0.27,2.667,0.67,2.667,1.05,2.562,3.6,3.382,5.75,3.853,3.87,3.138
0.37,2.692,0.74,2.713,1.09,2.587,3.8,3.426,5.83,3.864,3.98,3.171
0.42,2.724,0.8,2.771,1.13,2.6,3.85,3.456,6.02,3.883,4.06,3.204
0.49,2.749,0.91,2.832,1.21,2.614,3.98,3.475,6.05,3.929,4.16,3.25
0.55,2.777,1,2.895,1.25,2.639,4.04,3.495,6.35,3.982,4.33,3.286
0.55,2.81,1.16,2.926,1.4,2.697,4.1,3.508,6.44,4.02,4.42,3.303
0.61,2.849,1.22,2.947,1.47,2.757,4.29,3.544,6.65,4.05,4.5,3.324
0.69,2.881,1.29,2.953,1.57,2.79,4.47,3.585,6.77,4.086,4.53,3.34
0.74,2.915,1.34,2.955,1.59,2.813,4.74,3.629,7.1,4.119,4.54,3.355
0.83,2.939,1.4,2.959,1.64,2.826,4.86,3.666,7.23,4.144,4.61,3.374
0.82,2.95,1.41,2.964,1.67,2.837,5.1,3.696,7.52,4.167,4.69,3.39
0.94,2.964,1.39,2.969,1.68,2.856,5.2,3.723,7.69,4.189,4.78,3.402
0.99,2.978,1.45,2.974,1.75,2.875,5.44,3.753,7.99,4.224,4.89,3.423
1.09,2.991,1.42,2.978,1.81,2.901,5.58,3.797,8.12,4.255,4.96,3.456
1.11,3.007,1.47,2.98,1.89,2.919,5.88,3.839,8.4,4.288,5.04,3.493
1.16,3.018,1.51,2.989,1.88,2.944,6.14,3.892,8.69,4.329,5.14,3.534
1.24,3.038,1.47,2.994,1.96,2.955,6.57,3.96,9.04,4.368,5.27,3.581
1.26,3.057,1.54,3.005,1.92,2.963,6.76,4.007,9.48,4.39,5.52,3.629
1.34,3.079,1.65,3.028,2.01,2.974,7.12,4.04,9.71,4.412,5.65,3.669
1.39,3.121,1.66,3.047,2.08,2.997,7.33,4.065,10.08,4.447,5.88,3.706
1.48,3.162,1.74,3.071,2.21,3.021,7.43,4.09,10.29,4.475,5.99,3.728
1.57,3.193,1.8,3.11,2.24,3.044,7.76,4.119,10.68,4.488,6.15,3.748
1.73,3.23,1.93,3.159,2.39,3.079,7.92,4.141,10.93,4.516,6.26,3.77
1.82,3.278,2.04,3.212,2.49,3.142,8.28,4.167,11.54,4.566,6.44,3.804
1.94,3.299,2.3,3.275,2.68,3.212,8.44,4.2,11.85,4.621,6.59,3.856
2.06,3.321,2.4,3.302,2.84,3.272,8.71,4.218,12.56,4.667,6.82,3.888
2.15,3.34,2.59,3.313,3.12,3.311,8.89,4.235,12.81,4.703,6.93,3.908
2.15,3.36,2.64,3.33,3.17,3.34,9.25,4.287,13.44,4.738,7.16,3.933
2.25,3.374,2.6,3.347,3.19,3.365,9.5,4.323,13.73,4.76,7.27,3.954
2.31,3.393,2.68,3.365,3.39,3.398,9.91,4.353,13.97,4.782,7.5,3.98
2.41,3.415,2.78,3.385,3.44,3.427,10.15,4.384,14.5,4.822,7.68,4.028
2.5,3.446,2.79,3.405,3.6,3.46,10.58,4.406,14.84,4.862,7.89,4.078
2.57,3.476,2.88,3.427,3.7,3.506,10.81,4.436,15.5,4.899,8.22,4.119
2.73,3.493,3.15,3.468,3.97,3.561,11.32,4.472,15.85,4.932,8.41,4.148
2.79,3.512,3.21,3.501,4.12,3.614,11.65,4.514,16.6,4.967,8.84,4.186
2.96,3.536,3.4,3.523,4.46,3.658,12.01,4.566,16.9,4.992,9.02,4.218
3.04,3.561,3.47,3.531,4.56,3.709,12.83,4.629,17.52,5.028,9.3,4.244
3.25,3.588,3.56,3.539,4.91,3.751,13.33,4.69,18.06,5.089,9.46,4.271
3.34,3.627,3.59,3.552,4.97,3.781,14.29,4.747,19.05,5.133,9.84,4.315
3.53,3.658,3.73,3.58,5.32,3.82,14.79,4.785,19.48,5.166,10.06,4.357
3.63,3.691,3.82,3.619,5.49,3.864,15.63,4.821,19.91,5.19,10.41,4.389
3.82,3.728,4.11,3.662,5.8,3.903,16.05,4.863,20.97,5.24,10.54,4.409
4,3.768,4.24,3.696,5.96,3.94,16.8,4.895,21.51,5.287,10.94,4.43
4.22,3.809,4.46,3.713,6.32,4.002,17.16,4.921,22.43,5.319,11.14,4.459
4.37,3.858,4.52,3.728,6.54,4.046,17.98,4.956,22.81,5.344,11.55,4.502
4.62,3.892,4.59,3.745,6.76,4.093,18.34,4.987,23.71,5.369,11.77,4.525
4.8,3.925,4.8,3.77,7.19,4.122,18.7,5.023,24.18,5.407,11.93,4.549
5.02,3.958,4.87,3.795,7.35,4.145,19.58,5.066,25.31,5.451,12.32,4.574
5.22,3.995,5.06,3.826,7.68,4.175,20.05,5.097,25.86,5.487,12.54,4.607
5.3,4.024,5.16,3.853,7.85,4.199,20.64,5.108,26.37,5.509,13.14,4.659
5.57,4.048,5.37,3.869,8.18,4.235,20.88,5.121,27.25,5.531,13.6,4.722
5.65,4.079,5.47,3.894,8.44,4.288,21.3,5.133,27.68,5.559,14.35,4.769
5.9,4.098,5.88,3.954,8.92,4.332,21.56,5.158,28.7,5.587,14.69,4.796
5.95,4.115,6.09,4.021,9.12,4.354,22.37,5.206,29.29,5.619,15.53,4.844
6.18,4.137,6.49,4.072,9.48,4.376,23,5.264,30.26,5.644,15.99,4.896
6.34,4.167,6.77,4.112,9.65,4.397,23.58,5.298,30.79,5.664,16.7,4.921
6.65,4.202,7.26,4.147,9.94,4.416,24.67,5.333,31.45,5.713,17.03,4.946
6.89,4.252,7.42,4.174,10.11,4.442,25.12,5.353,32.91,5.755,17.32,4.97
7.22,4.284,7.76,4.188,10.3,4.477,25.82,5.369,33.67,5.796,17.85,4.99
7.45,4.31,7.89,4.205,10.73,4.505,26.18,5.378,35.25,5.829,18.19,5.02
7.73,4.342,8.07,4.225,10.98,4.541,26.83,5.404,36.03,5.87,19,5.067
7.87,4.367,8.29,4.238,11.74,4.599,27.23,5.427,37.63,5.909,19.59,5.129
8.11,4.383,8.38,4.255,12.29,4.689,28.03,5.449,38.51,5.939,20.67,5.165
8.22,4.394,8.65,4.291,13.65,4.78,28.53,5.481,39.91,5.967,21.12,5.195
8.35,4.409,8.81,4.328,14.4,4.849,29.1,5.513,40.52,5.991,22.17,5.235
8.58,4.433,9.14,4.348,15.55,4.896,30.2,5.551,41.17,6.016,22.91,5.311
8.71,4.459,9.26,4.362,16.03,4.92,30.89,5.595,42.29,6.04,23.67,5.369
8.94,4.481,9.5,4.375,16.65,4.94,32.55,5.644,42.75,6.06,25.07,5.408
9.09,4.503,9.64,4.394,16.94,4.965,33.31,5.683,44.01,6.084,25.68,5.44
9.35,4.518,10.03,4.431,17.21,4.986,34.49,5.704,44.59,6.103,26.76,5.468
