"Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7"
5.29,0.046,6.85,0.047,7.13,0.039,6.43,0.699,6.24,0.418,6.17,0.294
5.27,0.063,6.85,0.057,7.16,0.055,6.49,0.718,6.18,0.443,6.23,0.308
5.30,0.090,6.85,0.068,7.14,0.096,6.48,0.748,6.19,0.478,6.24,0.330
5.26,0.104,6.84,0.075,7.13,0.146,6.44,0.795,6.21,0.512,6.19,0.355
5.29,0.132,6.83,0.090,7.12,0.185,6.47,0.833,6.20,0.556,6.12,0.375
5.26,0.152,6.88,0.107,7.19,0.210,6.45,0.861,6.21,0.630,6.14,0.401
5.31,0.159,6.85,0.124,7.12,0.243,6.41,0.883,6.20,0.691,6.22,0.419
5.31,0.174,6.84,0.152,7.13,0.275,6.44,0.902,6.21,0.730,6.18,0.437
5.26,0.184,6.87,0.182,7.13,0.302,6.44,0.927,6.32,0.762,6.14,0.451
5.29,0.198,6.84,0.228,7.17,0.320,6.46,0.961,6.26,0.790,6.16,0.463
5.33,0.220,6.83,0.284,7.16,0.331,6.43,0.999,6.18,0.814,6.21,0.479
5.36,0.240,6.82,0.320,7.14,0.338,6.43,1.015,6.22,0.834,6.26,0.501
5.34,0.262,6.81,0.339,7.11,0.353,6.49,1.043,6.25,0.853,6.22,0.534
5.32,0.298,6.88,0.360,7.11,0.361,6.43,1.084,6.21,0.872,6.26,0.572
5.34,0.364,6.82,0.383,7.16,0.368,6.45,1.139,6.19,0.888,6.19,0.611
5.38,0.380,6.83,0.404,7.11,0.377,6.38,1.195,6.16,0.906,6.18,0.663
5.37,0.383,6.83,0.435,7.16,0.386,6.38,1.250,6.12,0.936,6.19,0.716
5.38,0.393,6.81,0.478,7.20,0.399,6.46,1.301,6.18,0.961,6.20,0.740
5.36,0.421,6.84,0.515,7.16,0.418,6.51,1.330,6.17,0.972,6.22,0.778
5.39,0.478,6.88,0.545,7.16,0.434,6.51,1.343,6.26,0.990,6.20,0.814
5.31,0.537,6.85,0.602,7.17,0.451,6.46,1.357,6.24,1.007,6.18,0.831
5.29,0.598,6.87,0.661,7.19,0.473,6.44,1.381,6.22,1.027,6.17,0.855
5.34,0.631,6.91,0.721,7.17,0.487,6.48,1.398,6.26,1.057,6.15,0.878
5.37,0.644,6.94,0.752,7.20,0.496,6.54,1.412,6.29,1.118,6.32,0.908
5.36,0.675,6.94,0.778,7.20,0.506,6.57,1.440,6.23,1.197,6.27,0.935
5.39,0.715,6.92,0.812,7.20,0.526,6.58,1.473,6.29,1.268,6.19,0.949
5.38,0.748,6.92,0.851,7.19,0.558,6.59,1.517,6.28,1.302,6.27,0.968
5.42,0.767,6.92,0.878,7.14,0.584,6.63,1.557,6.30,1.315,6.36,0.996
5.38,0.784,6.91,0.922,7.18,0.608,6.64,1.587,6.31,1.327,6.30,1.018
5.40,0.806,6.96,0.968,7.19,0.631,6.60,1.616,6.29,1.338,6.24,1.030
5.44,0.823,6.92,1.005,7.13,0.653,6.59,1.643,6.29,1.352,6.30,1.046
5.43,0.840,6.90,1.032,7.21,0.685,6.57,1.663,6.30,1.382,6.28,1.065
5.36,0.861,6.81,1.045,7.24,0.719,6.59,1.693,6.32,1.415,6.27,1.089
5.41,0.873,6.80,1.060,7.20,0.751,6.57,1.729,6.33,1.445,6.28,1.120
5.39,0.895,6.80,1.074,7.20,0.760,6.59,1.751,6.37,1.472,6.26,1.156
5.37,0.919,6.79,1.082,7.25,0.770,6.60,1.777,6.39,1.494,6.30,1.202
5.40,0.942,6.84,1.093,7.19,0.784,6.67,1.810,6.33,1.532,6.33,1.244
5.32,0.971,6.83,1.103,7.19,0.811,6.64,1.839,6.32,1.583,6.30,1.299
5.33,1.007,6.82,1.120,7.19,0.851,6.66,1.869,6.36,1.618,6.38,1.354
5.34,1.038,6.79,1.142,7.21,0.881,6.64,1.887,6.41,1.656,6.36,1.373
5.45,1.076,6.82,1.177,7.15,0.903,6.67,1.912,6.42,1.698,6.29,1.378
5.48,1.115,6.82,1.228,7.17,0.927,6.68,1.940,6.41,1.726,6.23,1.384
5.45,1.140,6.80,1.280,7.11,0.949,6.66,1.960,6.42,1.748,6.33,1.396
5.48,1.162,6.80,1.313,7.11,0.971,6.70,1.979,6.44,1.773,6.40,1.412
5.55,1.191,6.85,1.340,7.11,0.990,6.70,2.006,6.44,1.805,6.38,1.436
5.54,1.216,6.81,1.357,7.14,1.004,6.68,2.048,6.44,1.825,6.39,1.469
5.51,1.241,6.83,1.370,7.14,1.027,6.64,2.061,6.49,1.847,6.26,1.500
5.53,1.261,6.93,1.389,7.15,1.051,6.74,2.083,6.50,1.879,6.28,1.519
5.52,1.275,6.93,1.406,7.19,1.063,6.73,2.116,6.51,1.953,6.38,1.535
5.54,1.290,6.96,1.415,7.17,1.071,6.66,2.150,6.56,2.026,6.42,1.557
5.48,1.323,6.93,1.428,7.12,1.081,6.67,2.179,6.56,2.061,6.48,1.580
5.45,1.357,6.91,1.436,7.10,1.092,6.68,2.194,6.59,2.066,6.32,1.616
5.43,1.363,6.88,1.448,7.11,1.106,6.71,2.204,6.60,2.077,6.37,1.643
5.49,1.373,6.98,1.461,7.10,1.122,6.70,2.216,6.55,2.095,6.45,1.665
5.50,1.387,6.97,1.472,7.07,1.137,6.69,2.220,6.58,2.113,6.38,1.685
