Relative Intensity (%) Run #1,Angle (rad) Run #1,Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #4,Angle (rad) Run #4,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #6,Angle (rad) Run #6
-0.01,,-0.2,,0.11,,0.47,,0.31,,1,
-0.05,0,-0.21,0,0.15,0,0.51,0,0.29,0,1.01,0.002
-0.06,0,-0.18,0,0.1,0,0.47,0,0.33,0,0.98,0.002
-0.04,0,-0.24,0,0.07,0,0.49,0,0.32,0,0.98,0.002
-0.03,0,-0.23,0,0.1,0,0.44,0,0.3,0,0.96,0.002
-0.02,0,-0.29,0,0.09,0,0.47,0,0.33,0,0.97,0.002
-0.03,0,-0.4,0,0.08,0,0.44,0.002,0.31,0,0.92,0.002
-0.03,0,-0.37,0,0.12,0,0.5,0.002,0.28,0,0.91,0.002
-0.06,0,-0.32,0,0.02,0,0.69,0.002,0.31,0,0.94,0.002
-0.06,0,-0.23,0,-0.05,0,0.95,0.002,0.29,0,0.94,0.002
-0.07,0,-0.28,0,-0.01,0,1.02,0,0.31,0,0.93,0.002
-0.07,0,-0.26,0,0.07,0,1.07,0.002,0.54,0,0.97,0.002
-0.02,0,-0.28,0,0.05,0,1.11,0.003,0.68,0,0.99,0.002
0.06,0,-0.25,0,0.05,0,1.1,0.002,0.84,0.002,0.94,0.002
0.24,0,-0.27,0,0.05,0,1.09,0.002,0.86,0,0.95,0.002
0.46,0,-0.26,0,0.12,0,1.16,0.002,0.81,0,1,0.002
0.48,0,-0.23,0,0.28,0,1.18,0,0.82,0,0.99,0.002
0.52,0,0.1,0,0.46,0,1.11,-0.002,0.95,0,1,0.002
0.53,0,0.21,0.002,0.56,0,1.11,-0.002,0.94,0,1.01,0.002
0.58,-0.002,0.32,0.002,0.7,0,1.11,-0.002,0.87,0,0.98,0.002
0.6,-0.002,0.39,0.002,0.65,0,1.1,0.009,0.85,0,1.02,0.002
0.53,-0.002,0.41,0.002,0.61,0,1.07,0.008,0.9,0,1.03,0.002
0.56,-0.002,0.4,0.002,0.61,0.002,1.09,0.008,0.86,0,1.06,0.002
0.54,-0.002,0.42,0.002,0.72,0.002,1.08,0.009,0.92,0,1.02,0.002
0.5,-0.002,0.43,0.002,0.71,0.002,1.07,0.009,0.89,0,1,0.002
0.53,-0.002,0.48,0,0.61,0,1.09,0.009,0.9,0,0.98,0.002
0.51,-0.002,0.46,0,0.66,0.006,1.12,0.008,0.87,0,0.97,0.002
0.52,-0.002,0.4,0,0.68,0.006,1.11,0.008,0.88,0.002,0.94,0.002
0.53,-0.002,0.44,0.003,0.68,0.005,1.04,0.008,0.94,0.002,0.94,0.002
0.53,0,0.41,0.013,0.72,0.005,1.1,0.008,0.9,0,0.92,0.002
0.5,0.002,0.42,0.011,0.62,0.006,1.06,0.006,0.95,0.002,0.94,0.002
0.51,-0.002,0.42,0.011,0.61,0.008,1.09,0.013,0.93,0.003,0.93,0.002
0.5,0,0.38,0.011,0.66,-0.02,1.13,0.016,0.93,0.003,0.95,0.002
0.54,0.008,0.33,0.013,0.67,-0.02,1.13,0.017,0.87,0.003,0.95,0.002
0.58,0.006,0.36,0.016,0.66,-0.02,1.08,0.019,0.84,0.005,0.95,0.002
0.6,0.005,0.37,0.017,0.65,-0.017,1.01,0.005,0.83,0.006,0.96,0.002
0.55,0.006,0.44,0.016,0.69,-0.016,1.05,-0.005,0.8,0.014,0.96,0.002
0.53,0.006,0.44,0.014,0.72,-0.014,1.08,-0.005,0.81,0.003,0.99,0.002
0.52,0.006,0.43,0.014,0.69,-0.016,1.07,-0.013,0.82,0.005,0.87,0.002
0.55,0.008,0.42,0.014,0.67,-0.014,1.07,-0.011,0.8,0.003,0.88,0.002
0.52,0.009,0.41,-0.028,0.66,-0.014,1.04,-0.011,0.75,0.003,0.92,0.002
0.53,0.009,0.41,-0.08,0.66,-0.011,1,-0.011,0.79,0.003,0.87,0.002
0.6,-0.013,0.43,-0.08,0.68,-0.008,1.05,-0.006,0.81,0.005,0.9,0.002
0.56,-0.011,0.42,-0.08,0.62,-0.005,1.01,-0.005,0.84,0.003,0.9,0.002
0.54,-0.011,0.41,-0.08,0.58,-0.011,1.05,0.002,0.83,0.003,0.94,0.002
0.53,-0.013,0.45,-0.08,0.6,-0.009,1.06,0.005,0.86,0.005,0.89,0.003
0.55,-0.013,0.41,-0.088,0.59,-0.009,1.1,0.014,0.9,0.006,0.91,0.003
0.52,-0.013,0.35,-0.086,0.61,-0.006,1.09,0.028,0.91,0.008,0.88,0.003
0.52,-0.013,0.35,-0.085,0.63,-0.003,1.08,0.041,0.87,0.009,0.88,0.003
0.5,-0.013,0.35,-0.082,0.65,0.003,1.08,0.052,0.86,0.011,0.85,0.003
0.51,-0.013,0.32,-0.071,0.63,0.005,1.14,0.055,0.9,0.011,0.82,0.003
0.49,-0.013,0.37,-0.071,0.71,0.013,1.12,0.058,0.79,0.011,0.9,0.003
0.47,-0.009,0.36,-0.066,0.72,0.02,1.12,0.085,0.82,0.011,0.86,0.003
0.49,-0.009,0.38,-0.046,0.69,0.027,1.13,0.093,0.83,0.009,0.84,0.003
0.47,-0.009,0.38,-0.036,0.7,0.033,1.11,0.113,0.81,0.009,0.86,0.003
0.57,-0.011,0.32,-0.03,0.71,0.046,1.12,0.129,0.77,0.009,0.86,0.003
0.55,-0.011,0.26,-0.017,0.7,0.058,1.12,0.143,0.76,0.011,0.85,0.003
0.5,-0.011,0.23,-0.003,0.71,0.072,1.09,0.167,0.72,0.013,0.83,0.003
0.5,-0.011,0.26,0.011,0.7,0.085,1.11,0.184,0.71,0.019,0.81,0.003
0.49,-0.009,0.28,0.016,0.69,0.096,1.16,0.195,0.72,0.028,0.79,0.003
0.52,-0.009,0.3,0.022,0.71,0.102,1.15,0.209,0.71,0.035,0.81,0.003
0.53,-0.009,0.33,0.03,0.7,0.108,1.18,0.234,0.76,0.041,0.82,0.003
0.53,-0.008,0.32,0.036,0.69,0.115,1.18,0.259,0.75,0.06,0.84,0.003
0.51,-0.006,0.31,0.046,0.71,0.123,1.21,0.281,0.73,0.072,0.81,0.003
0.52,-0.014,0.32,0.05,0.75,0.132,1.24,0.3,0.76,0.074,0.85,0.003
0.46,-0.022,0.32,0.055,0.77,0.154,1.24,0.319,0.72,0.075,0.8,0.003
0.47,-0.022,0.35,0.064,0.72,0.19,1.28,0.347,0.7,0.083,0.83,0.003
0.45,-0.013,0.37,0.079,0.75,0.229,1.3,0.368,0.74,0.086,0.81,0.003
0.46,-0.005,0.42,0.102,0.76,0.273,1.29,0.386,0.72,0.094,0.83,0.003
0.43,0.008,0.44,0.134,0.74,0.313,1.31,0.405,0.7,0.107,0.85,0.003
0.38,0.017,0.45,0.162,0.77,0.335,1.32,0.43,0.64,0.13,0.73,0.003
0.43,0.039,0.43,0.184,0.78,0.344,1.33,0.451,0.59,0.165,0.74,0.003
0.45,0.063,0.44,0.207,0.8,0.36,1.34,0.478,0.59,0.185,0.68,0.003
0.43,0.096,0.44,0.229,0.83,0.377,1.33,0.512,0.62,0.198,0.68,0.003
0.42,0.107,0.46,0.262,0.85,0.386,1.31,0.525,0.62,0.232,0.74,0.003
0.36,0.118,0.48,0.289,0.84,0.399,1.32,0.534,0.59,0.261,0.97,0.003
0.37,0.129,0.52,0.314,0.87,0.413,1.37,0.551,0.63,0.265,1.13,0.003
0.37,0.152,0.54,0.333,0.85,0.429,1.39,0.562,0.64,0.273,1.18,0.003
0.36,0.204,0.49,0.346,0.9,0.441,1.36,0.578,0.6,0.28,1.3,0.003
0.34,0.27,0.48,0.383,0.89,0.454,1.42,0.614,0.6,0.281,1.32,0.003
0.36,0.317,0.53,0.415,0.89,0.473,1.39,0.664,0.65,0.286,1.31,0.002
0.34,0.372,0.56,0.446,0.91,0.49,1.42,0.702,0.65,0.294,1.3,0.002
0.38,0.419,0.55,0.47,0.89,0.514,1.43,0.73,0.67,0.302,1.28,0.002
0.42,0.445,0.58,0.498,0.88,0.548,1.44,0.763,0.72,0.325,1.36,0.002
0.42,0.459,0.6,0.536,0.86,0.58,1.46,0.818,0.74,0.363,1.37,0.003
0.41,0.474,0.59,0.576,0.84,0.62,1.43,0.85,0.81,0.402,1.33,0.003
0.46,0.493,0.58,0.628,0.88,0.69,1.51,0.883,0.8,0.479,1.33,0.002
0.46,0.528,0.59,0.671,0.93,0.729,1.54,0.922,0.76,0.522,1.33,0.002
0.43,0.553,0.61,0.693,0.97,0.763,1.57,0.939,0.78,0.536,1.34,0.003
0.45,0.572,0.67,0.715,0.98,0.798,1.54,0.964,0.82,0.542,1.33,0.005
0.46,0.586,0.67,0.735,0.98,0.833,1.57,0.991,0.85,0.556,1.47,0.005
0.47,0.611,0.73,0.779,0.98,0.845,1.61,1.016,0.81,0.595,1.53,0.005
0.45,0.631,0.73,0.826,0.97,0.862,1.63,1.029,0.79,0.635,1.49,0.005
0.45,0.653,0.76,0.847,0.99,0.888,1.64,1.052,0.78,0.65,1.45,0.011
0.43,0.68,0.77,0.869,1.05,0.92,1.72,1.078,0.82,0.663,1.42,0.014
0.43,0.693,0.82,0.894,1.02,0.95,1.76,1.107,0.83,0.696,1.44,0.016
0.47,0.708,0.82,0.924,1.09,0.988,1.76,1.156,0.81,0.74,1.42,0.014
0.44,0.73,0.91,0.958,1.07,1.032,1.77,1.203,0.8,0.76,1.43,0.014
0.44,0.749,0.9,0.991,1.07,1.057,1.81,1.253,0.8,0.778,1.44,-0.013
0.46,0.778,0.87,1.01,1.05,1.087,1.81,1.28,0.77,0.793,1.43,-0.013
0.44,0.818,0.86,1.034,1.05,1.123,1.85,1.31,0.77,0.826,1.4,-0.049
0.47,0.834,0.87,1.056,1.11,1.178,1.89,1.352,0.81,0.859,1.42,-0.042
0.47,0.853,0.93,1.076,1.17,1.233,1.98,1.39,0.82,0.881,1.38,-0.041
0.52,0.892,0.93,1.109,1.22,1.275,2,1.412,0.83,0.909,1.35,-0.039
0.62,0.93,1.01,1.148,1.26,1.343,2.03,1.428,0.79,0.946,1.37,-0.038
