Relative Intensity (%) Run #1,Angle (rad) Run #1,Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #4,Angle (rad) Run #4,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #6,Angle (rad) Run #6
-4.3,-0.008,-2.24,0.005,-1.11,0,-0.34,0.002,-0.06,0.543,1.71,0.487
-4.38,-0.008,-2.42,0.003,-1.14,0,-0.37,0.002,-0.05,0.598,1.69,0.57
-4.28,-0.009,-2.39,0.003,-1.16,0,-0.3,0.003,-0.06,0.628,1.7,0.638
-4.38,-0.011,-2.23,0.003,-1.14,0,-0.23,0.003,-0.03,0.657,1.66,0.707
-4.36,-0.011,-2.2,0.005,-1.23,0,-0.18,0.005,-0.09,0.686,1.72,0.768
-4.4,-0.011,-2.27,0.006,-1.21,0,-0.22,0.005,-0.07,0.718,1.74,0.815
-4.38,-0.011,-2.23,0.006,-1.18,0,-0.27,0.006,-0.09,0.771,1.74,0.872
-4.32,-0.011,-2.29,0.006,-1.22,0,-0.33,0.006,-0.07,0.809,1.72,0.908
-4.35,-0.011,-2.23,0.009,-1.2,0,-0.28,0.008,-0.07,0.831,1.72,0.924
-4.35,-0.011,-2.23,0.009,-1.21,0,-0.21,0.009,-0.12,0.856,1.73,0.942
-4.3,-0.011,-2.2,0.009,-1.19,0,-0.23,0.009,-0.04,0.903,1.74,0.968
-4.3,-0.011,-2.17,0.011,-1.17,0,-0.24,0.011,-0.05,0.928,1.75,1.019
-4.28,-0.011,-2.21,0.013,-1.19,0,-0.24,0.011,-0.07,0.952,1.75,1.129
-4.34,-0.011,-2.22,0.014,-1.16,0,-0.24,0.011,-0.01,0.979,1.73,1.214
-4.32,-0.011,-2.25,0.017,-1.22,0,-0.22,0.013,-0.01,1.016,1.74,1.272
-4.32,-0.011,-2.32,0.024,-1.24,0,-0.22,0.013,-0.04,1.063,1.73,1.313
-4.3,-0.011,-2.21,0.028,-1.22,0,-0.23,0.014,-0.03,1.101,1.75,1.334
-4.29,-0.009,-2.19,0.031,-1.21,0,-0.28,0.014,-0.06,1.122,1.72,1.345
-4.35,-0.009,-2.22,0.041,-1.19,0,-0.24,0.016,-0.05,1.153,1.73,1.349
-4.28,-0.009,-2.17,0.053,-1.24,0,-0.24,0.003,0.04,1.197,1.79,1.354
-4.26,-0.009,-2.19,0.075,-1.23,0,-0.26,-0.02,0.05,1.227,1.74,1.354
-4.32,-0.008,-2.2,0.119,-1.23,0,-0.21,-0.016,0.02,1.263,1.7,1.356
-4.26,-0.008,-2.15,0.19,-1.3,0,-0.16,-0.016,0,1.302,1.73,1.359
-4.3,-0.008,-2.16,0.275,-1.28,0,-0.18,-0.016,0.05,1.329,1.72,1.362
-4.26,-0.008,-2.19,0.346,-1.21,0.002,-0.22,-0.013,0.03,1.349,1.73,1.365
-4.29,-0.006,-2.12,0.415,-1.26,0.002,-0.17,-0.002,0.06,1.362,1.69,1.37
-4.28,-0.006,-2.13,0.434,-1.25,0.003,-0.17,0.009,0.09,1.387,1.69,1.378
-4.34,-0.005,-2.14,0.446,-1.3,0.005,-0.3,0.02,0.07,1.422,1.71,1.395
-4.31,-0.003,-2.1,0.46,-1.25,0.006,-0.3,0.038,0.11,1.45,1.68,1.414
-4.35,-0.002,-2.11,0.484,-1.21,0.005,-0.28,0.057,0.11,1.475,1.68,1.442
-4.26,1.30E-18,-2.19,0.518,-1.22,0.005,-0.31,0.08,0.09,1.489,1.66,1.467
-4.27,0.002,-2.15,0.558,-1.28,0.005,-0.25,0.119,0.09,1.5,1.7,1.51
-4.29,0.003,-2.17,0.589,-1.27,0.005,-0.26,0.152,0.14,1.527,1.7,1.541
-4.32,0.005,-2.12,0.605,-1.27,0.005,-0.18,0.184,0.18,1.56,1.68,1.557
-4.3,0.005,-2.14,0.614,-1.25,0.005,-0.27,0.198,0.16,1.602,1.64,1.582
-4.28,0.006,-2.22,0.624,-1.22,0.005,-0.3,0.203,0.23,1.657,1.59,1.598
-4.34,0.008,-2.15,0.628,-1.2,0.005,-0.35,0.218,0.23,1.692,1.62,1.632
-4.29,0.011,-2.18,0.631,-1.18,0.005,-0.26,0.259,0.24,1.726,1.57,1.674
-4.32,0.03,-2.14,0.644,-1.18,0.005,-0.19,0.306,0.23,1.75,1.53,1.703
-4.33,0.055,-2.12,0.657,-1.2,0.006,-0.24,0.361,0.26,1.769,1.55,1.717
-4.31,0.069,-2.13,0.669,-1.25,0.008,-0.2,0.418,0.23,1.8,1.48,1.753
-4.31,0.105,-2.12,0.697,-1.25,0.008,-0.24,0.446,0.26,1.825,1.51,1.773
-4.36,0.178,-2.17,0.71,-1.26,0.009,-0.26,0.46,0.34,1.855,1.64,1.8
-4.29,0.272,-2.13,0.718,-1.23,0.009,-0.27,0.482,0.34,1.883,1.7,1.832
-4.31,0.361,-2.18,0.721,-1.27,0.011,-0.26,0.515,0.29,1.918,1.68,1.88
-4.33,0.401,-2.16,0.729,-1.31,0.011,-0.27,0.564,0.28,1.957,1.69,1.94
-4.29,0.416,-2.19,0.746,-1.33,0.013,-0.27,0.597,0.31,1.998,1.68,2.011
