Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #7,Angle (rad) Run #7,Relative Intensity (%) Run #9,Angle (rad) Run #9
1.53,1.497,1.79,1.543,2.75,1.998,4.34,1.384,4.96,1.426
1.51,1.541,1.76,1.574,2.74,2.047,4.37,1.385,4.97,1.453
1.49,1.566,1.74,1.623,2.68,2.121,4.42,1.385,4.95,1.48
1.46,1.583,1.75,1.679,2.7,2.183,4.41,1.385,5.01,1.519
1.43,1.618,1.76,1.722,2.75,2.246,4.39,1.385,5.03,1.582
1.5,1.652,1.75,1.742,2.72,2.303,4.39,1.385,5.04,1.63
1.47,1.685,1.81,1.762,2.73,2.318,4.41,1.389,5.02,1.654
1.41,1.736,1.82,1.792,2.69,2.326,4.42,1.392,5.07,1.671
1.6,1.799,1.76,1.838,2.72,2.334,4.41,1.407,5.07,1.679
1.58,1.86,1.76,1.887,2.7,2.344,4.38,1.422,5.07,1.696
1.58,1.902,1.82,1.948,2.72,2.359,4.4,1.44,5.08,1.726
1.57,1.926,1.83,1.993,2.7,2.406,4.39,1.455,5.14,1.747
1.62,1.948,1.75,2.044,2.77,2.461,4.45,1.484,5.13,1.767
1.62,1.97,1.79,2.097,2.78,2.501,4.48,1.511,5.11,1.786
1.69,1.998,1.82,2.141,2.78,2.538,4.5,1.532,5.1,1.816
1.68,2.028,1.87,2.205,2.79,2.554,4.51,1.557,5.11,1.844
1.63,2.08,1.85,2.245,2.8,2.575,4.48,1.577,5.08,1.865
1.68,2.124,1.78,2.265,2.78,2.601,4.44,1.607,5.08,1.894
1.65,2.169,1.75,2.286,2.79,2.642,4.44,1.632,5.15,1.926
1.64,2.232,1.83,2.308,2.84,2.677,4.48,1.645,5.12,1.943
1.64,2.289,1.89,2.34,2.86,2.733,4.42,1.652,5.12,1.959
1.63,2.337,1.87,2.406,2.87,2.785,4.45,1.66,5.15,1.984
1.67,2.384,1.84,2.455,2.86,2.846,4.53,1.671,5.18,2.003
1.63,2.43,1.83,2.477,2.87,2.884,4.58,1.698,5.2,2.036
1.58,2.463,1.84,2.487,2.91,2.901,4.54,1.764,5.2,2.073
1.62,2.487,1.86,2.501,2.93,2.904,4.54,1.788,5.24,2.113
1.64,2.523,1.83,2.515,2.94,2.912,4.5,1.813,5.24,2.172
1.65,2.557,1.96,2.532,2.97,2.933,4.45,1.833,5.29,2.198
1.68,2.601,1.96,2.559,2.95,2.959,4.54,1.877,5.28,2.223
1.71,2.661,1.94,2.597,3,3.022,4.49,1.91,5.28,2.232
1.69,2.706,1.96,2.63,2.99,3.09,4.55,1.943,5.33,2.246
1.74,2.76,1.99,2.669,3,3.17,4.54,1.957,5.33,2.259
1.71,2.838,1.99,2.708,3,3.237,4.51,1.965,5.3,2.279
1.77,2.895,2.01,2.732,3.01,3.259,4.52,1.971,5.33,2.303
1.76,2.953,1.96,2.754,3.06,3.288,4.61,1.978,5.3,2.331
1.73,3.005,1.93,2.791,3.09,3.332,4.6,1.987,5.31,2.358
1.74,3.065,1.97,2.826,3.09,3.36,4.6,1.992,5.35,2.369
1.79,3.134,1.96,2.845,3.13,3.387,4.57,2.009,5.33,2.381
1.83,3.181,1.98,2.856,3.16,3.416,4.5,2.044,5.38,2.394
1.87,3.217,2,2.86,3.12,3.434,4.52,2.077,5.41,2.419
1.92,3.259,2.02,2.878,3.12,3.454,4.55,2.097,5.43,2.461
1.97,3.31,2.02,2.893,3.18,3.481,4.5,2.127,5.49,2.493
2.01,3.371,2.1,2.914,3.27,3.501,4.48,2.144,5.51,2.51
