Relative Intensity (%) Run #1,Angle (rad) Run #1,Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #4,Angle (rad) Run #4,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #6,Angle (rad) Run #6
2.35,,,,-1.19,,-1.62,,-1.14,,-2.05,
2.33,0,,,-1.26,0.002,-1.64,0,-1.17,0,-2.08,0
2.37,0,,,-1.3,0.002,-1.48,0,-1.19,0,-2.11,0
2.41,0,,,-1.3,0.002,-1.44,0,-1.2,0,-2.12,0
2.34,0,,,-1.23,0.002,-1.4,0,-1.2,0,-2.11,0
2.34,0,,,-1.21,0.002,-1.36,0,-1.21,0,-2.13,0
2.39,0,,,-1.11,0.002,-1.41,0,-1.16,0,-2.09,0
2.39,0,,,-1.15,0.002,-1.38,0,-1.18,0,-2.07,-0.002
2.36,0,,,-1.24,0.002,-1.42,0,-1.2,0,-2.08,-0.002
2.46,0,,,-1.22,0.002,-1.42,0,-1.18,0,-2.07,-0.002
2.45,0,,,-1.16,0.002,-1.42,0,-1.24,0,-2.13,-0.002
2.5,0,,,-1.11,0.002,-1.36,0,-1.26,0,-2.13,-0.002
2.51,0,,,-1.11,0.002,-1.35,0,-1.25,0,-2.08,-0.002
2.49,0,,,-1.08,0.002,-1.41,0,-1.3,0,-2.13,-0.002
2.45,0,,,-1.13,0.002,-1.36,0,-1.37,0,-2.11,-0.002
2.4,0,,,-1.1,0.002,-1.4,0,-1.43,0,-2.08,-0.002
2.41,0,,,-1.06,0.002,-1.4,0,-1.41,0,-2.1,-0.002
2.37,0,,,-1.1,0.002,-1.46,0,-1.35,0,-2.12,-0.002
2.36,0,,,-1.11,0.002,-1.43,0,-1.35,0,-2.14,-0.002
2.37,0,,,-1.08,0.002,-1.38,0,-1.32,0,-2.12,-0.002
2.41,0,,,-1.1,0.002,-1.4,0,-1.32,0,-2.15,-0.002
2.42,0,,,-1.03,0.002,-1.37,0,-1.3,0,-2.04,-0.002
2.44,0.002,,,-0.99,0.002,-1.29,0,-1.25,0,-1.95,-0.002
2.46,0,,,-0.87,0.002,-1.23,0,-1.24,0,-1.95,-0.002
2.48,0,,,-0.86,0,-1.19,0,-1.2,0,-1.91,-0.002
2.47,0,,,-0.9,-0.002,-1.17,0,-1.16,0,-1.94,-0.002
2.47,0,,,-0.94,-0.002,-1.16,0,-1.14,0,-1.94,-0.002
2.51,0,,,-0.97,-0.002,-1.14,0,-1.11,0,-1.91,0
2.4,0,,,-0.93,-0.002,-1.16,0,-1.15,0,-1.93,0.002
2.4,0.002,,,-0.9,-0.003,-1.16,0,-1.17,0.002,-1.95,0.002
2.31,0.002,,,-0.95,-0.003,-1.18,0,-1.14,0,-1.91,0
2.31,0.002,,,-0.98,-0.002,-1.19,0,-1.12,0,-1.89,0.003
2.34,0.002,,,-0.91,-0.002,-1.13,-0.002,-1.1,0,-1.92,0.009
